species_id,year,total_abundance,total_biomass_kg
PM,1988,54,1.175
PP,1988,53,0.914
RF,1988,11,0.152
RM,1988,211,2.147
SA,1988,1,
SH,1988,31,2.257
SS,1988,20,
UL,1988,1,
UP,1988,3,
UR,1988,1,
ZL,1988,2,
AB,1989,31,
AH,1989,30,
BA,1989,3,0.021
CB,1989,1,
CS,1989,1,
DM,1989,321,13.97
DO,1989,119,5.97
DS,1989,33,3.535
NL,1989,67,9.228
OL,1989,57,1.821
OT,1989,102,2.491
OX,1989,1,0.02
PC,1989,1,
PE,1989,177,3.751
PF,1989,13,0.094
PH,1989,2,0.061
PM,1989,27,0.546
PP,1989,45,0.766
RF,1989,49,0.654
RM,1989,398,4.04999999999998
SA,1989,3,
SC,1989,1,
SF,1989,5,0.274
SH,1989,55,4.199
SS,1989,18,
UP,1989,2,
AB,1990,27,
AH,1990,22,
BA,1990,11,0.088
DM,1990,462,18.88
DO,1990,171,8.053
DS,1990,17,1.939
NL,1990,29,4.474
OL,1990,25,0.78
OT,1990,77,1.823
PC,1990,8,
PE,1990,75,1.582
PF,1990,51,0.363
PG,1990,4,
PH,1990,7,0.218
PP,1990,34,0.545
RF,1990,12,0.155
RM,1990,231,2.35999999999999
SF,1990,18,0.947
SH,1990,9,0.692
SS,1990,5,
UP,1990,1,
AB,1991,15,
AH,1991,21,
AS,1991,1,
BA,1991,26,0.231
CB,1991,2,
DM,1991,404,16.871
DO,1991,122,5.715
DS,1991,11,1.13
DX,1991,4,
NL,1991,30,4.166
OL,1991,36,0.986000000000001
OT,1991,107,2.508
PC,1991,6,
PE,1991,65,1.329
PF,1991,62,0.454
PP,1991,88,1.504
RM,1991,307,3.09699999999999
RO,1991,1,0.011
SA,1991,2,
SF,1991,7,0.559
SH,1991,1,0.063
SO,1991,11,0.593
SS,1991,2,
UR,1991,1,
AB,1992,10,
AH,1992,16,
BA,1992,6,0.047
CB,1992,7,
DM,1992,307,12.944
DO,1992,94,4.208
DS,1992,18,1.91
DX,1992,12,
NL,1992,15,2.085
OL,1992,45,1.252
OT,1992,42,1.047
PC,1992,9,
PE,1992,41,0.910000000000001
PF,1992,57,0.491
PH,1992,7,0.218
PI,1992,1,0.018
PP,1992,131,2.15
RM,1992,158,1.603
SF,1992,3,0.129
SO,1992,20,1.05
SS,1992,7,
UL,1992,1,
UR,1992,1,
AB,1993,9,
AH,1993,15,
AS,1993,1,
CB,1993,5,
CU,1993,1,
DM,1993,253,10.67
DO,1993,29,1.26
DS,1993,18,1.903
DX,1993,3,
NL,1993,24,2.93
OL,1993,35,0.909000000000001
OT,1993,22,0.492
OX,1993,1,
PC,1993,1,
PE,1993,13,0.25
PF,1993,70,0.552
PP,1993,100,1.562
RM,1993,103,1.064
SF,1993,3,0.132
SO,1993,6,0.278
SS,1993,1,
ST,1993,1,
AB,1994,7,
AH,1994,19,
CB,1994,1,
DM,1994,293,12.373
DO,1994,25,1.146
DS,1994,9,0.853
DX,1994,2,
NL,1994,10,1.495
OL,1994,21,0.438
OT,1994,21,0.531
PC,1994,1,
PE,1994,3,0.054
PF,1994,73,0.542
PP,1994,74,1.231
PU,1994,2,
RM,1994,40,0.427
SO,1994,3,0.187
SS,1994,7,
SU,1994,1,
UL,1994,2,
UR,1994,1,
AB,1995,4,
AH,1995,36,
CB,1995,2,
DM,1995,436,18.953
DO,1995,58,2.678
DX,1995,3,
NL,1995,8,0.935
OL,1995,29,0.737
OT,1995,38,0.945000000000001
PB,1995,7,0.238
PC,1995,1,
PE,1995,14,0.276
PF,1995,158,1.361
PH,1995,3,0.106
PI,1995,1,
PL,1995,3,0.067
PM,1995,8,0.219
PP,1995,277,4.54799999999999
PU,1995,1,
RM,1995,81,0.987000000000001
RX,1995,1,0.02
SS,1995,7,
SU,1995,4,
AH,1996,25,
DM,1996,492,21.63
DO,1996,174,7.841
DX,1996,1,
NL,1996,7,1.036
OL,1996,13,0.361
OT,1996,108,2.533
PB,1996,39,1.238
PC,1996,1,
PE,1996,36,0.793
PF,1996,330,2.728
PL,1996,6,0.127
PM,1996,50,0.991000000000001
PP,1996,298,5.30199999999999
PX,1996,2,
RM,1996,90,1.031
SA,1996,1,
SS,1996,16,
AH,1997,37,
CB,1997,3,
DM,1997,576,25.6180000000001
DO,1997,253,12.189
DS,1997,6,0.666
NL,1997,48,6.781
OL,1997,8,0.269
OT,1997,258,6.34499999999999
PB,1997,259,7.989
PE,1997,57,1.193
PF,1997,186,1.563
PH,1997,1,0.022
PL,1997,19,0.357
PM,1997,271,5.68299999999999
PP,1997,325,5.81599999999999
PX,1997,2,0.038
RF,1997,1,0.02
RM,1997,158,1.752
RX,1997,1,0.011
SA,1997,1,
SH,1997,7,0.356
SO,1997,3,0.164
SS,1997,12,
AB,1998,2,
AH,1998,33,
CB,1998,4,
CT,1998,1,
DM,1998,503,19.366
DO,1998,111,4.625
DS,1998,9,0.812
DX,1998,2,
NL,1998,32,4.784
OT,1998,164,3.652
PB,1998,329,9.14499999999999
PC,1998,1,
PE,1998,24,0.467
PF,1998,26,0.218
PL,1998,7,0.117
PM,1998,103,1.915
PP,1998,208,3.35099999999999
PX,1998,1,
RM,1998,13,0.131
SA,1998,2,
SS,1998,15,
AH,1999,14,
DM,1999,348,15.293
DO,1999,84,3.985
DS,1999,7,0.845
DX,1999,3,
NL,1999,20,3.644
OT,1999,105,2.701
PB,1999,272,8.52999999999999
PE,1999,7,0.178
PM,1999,44,0.946000000000001
PP,1999,167,2.72599999999999
RM,1999,28,0.285
SH,1999,2,0.108
SS,1999,7,
AB,2000,3,
AH,2000,12,
DM,2000,233,9.876
DO,2000,91,4.381
DX,2000,4,
NL,2000,29,4.662
OT,2000,154,3.669
PB,2000,555,16.829
PE,2000,15,0.281
PG,2000,1,
PL,2000,1,0.021
PM,2000,2,0.041
PP,2000,381,6.19499999999999
PX,2000,1,
RM,2000,15,0.171
SH,2000,8,0.587
SS,2000,4,
AB,2001,1,
AH,2001,23,
CB,2001,3,
DM,2001,305,13.36
DO,2001,81,4.022
DX,2001,1,
NL,2001,48,7.889
OT,2001,167,3.651
PB,2001,538,17.121
PE,2001,35,0.714
PF,2001,27,0.222
PI,2001,2,0.036
PM,2001,3,0.08
PP,2001,273,4.59799999999999
RM,2001,15,0.17
SH,2001,11,0.799
SS,2001,5,
UR,2001,2,
AB,2002,2,
AH,2002,28,
DM,2002,309,13.989
DO,2002,249,12.032
DX,2002,1,
NL,2002,48,8.015
OL,2002,8,0.178
OT,2002,127,2.86
PB,2002,892,28.088
PE,2002,60,1.238
PF,2002,18,0.133
PI,2002,5,0.1
PM,2002,1,0.019
PP,2002,385,6.39899999999999
RM,2002,20,0.2
RO,2002,7,0.071
SF,2002,7,0.373
SH,2002,11,0.582
SS,2002,9,
UR,2002,1,
US,2002,4,
